gene_id	gene_name	rep1_0	rep1_3	rep1_9	rep1_24	rep2_0	rep2_3	rep2_9	rep2_24	rep3_0	rep3_3	rep3_9	rep3_24
BAB72263	asl0305	16.953655	15.646067	29.963133	20.371624	18.379982	16.043377	15.978661	10.885852	24.195646	20.94128	42.424301	34.04599
BAB72264	all0306 	55.391087	52.450241	30.723921	40.034782	59.300468	39.657715	48.88496	39.776955	32.624664	39.663502	25.538486	47.284969
BAB72265	all0307	77.305283	46.212666	34.439259	85.606827	81.78109	30.104784	99.895088	71.100578	40.357151	33.058521	34.665192	43.316727
BAB72266	alr0308	48.308437	32.822651	23.430075	37.191139	45.142689	26.176752	32.381561	39.438049	47.621529	17.470592	51.596882	56.93935
BAB72267	alr0309	37.286118	25.384598	23.034172	70.173546	46.170258	32.211796	53.09864	60.819237	19.451591	50.636677	85.641991	89.468277
BAB72268	asl0310	92.722565	89.784134	170.915939	419.391571	113.491776	81.310982	252.555237	526.594849	83.405846	98.654236	514.650208	882.312744
BAB72269	all0311	46.32391	21.423395	19.517574	45.160801	40.897106	15.107791	57.98896	43.545944	6.423164	4.19958	28.564026	27.846182
BAB72270	alr0312	18.062136	15.774776	19.031555	28.609869	17.065586	16.007849	18.381058	27.180031	12.732077	21.431784	23.613642	44.068275
BAB72271	all0313	14.618402	5.954072	2.672944	7.779397	11.171741	7.256758	11.561656	0	5.280437	5.58119	5.444126	5.740934
BAB72272	all0314	107.940178	121.413506	180.008331	77.461563	131.978973	326.174286	72.657875	67.630066	215.540909	467.942017	456.381775	226.247192
BAB72273	all0315	136.896347	384.257721	620.83551	719.915466	148.927826	287.382904	408.959198	971.703735	118.109703	309.758667	1134.966675	489.046509
BAB72274	all0316	66.95607	51.479816	43.516708	75.489624	58.606556	29.780941	61.258698	58.212227	30.734543	32.161205	34.785465	32.911949
BAB72275		426.790009	158.691513	115.052704	77.749565	368.759277	239.895813	136.809219	41.936581	724.770386	251.519775	225.981354	50.687702
BAB72276		744.506226	505.365784	384.551544	177.236389	657.954651	634.142578	263.104279	209.253067	1214.011475	640.773987	483.097412	221.816299
