BAB72263	asl0305
BAB72264	all0306 
BAB72689	all0732
BAB73056	all1099
BAB73169	all1986
BAB73685	all2065
BAB73764	all3682
BAB75270	all3734
BAB75335	all4756
BAB75381	alr0249
BAB75433	alr1212
BAB76455	alr3571
BAB77773	alr3636
BAB72265	all0307
BAB72266	alr0308
BAB72267	alr0309
BAB72268	asl0310
BAB72269	all0311
BAB72270	alr0312
BAB72271	all0313
BAB72272	all0314
BAB72273	all0315
BAB72274	all0316
BAB72275	
BAB72276	
BAB72277	asl0319
BAB72278	all0320
BAB72279	all0321
BAB72280	
BAB72281	all0323
BAB72282	all0324
BAB72283	all0325
BAB72284	all0326
BAB72285	all0327
BAB72286	all0328
BAB72287	all0329
BAB72288	all0330
BAB72289	alr0331
BAB72290	all0332
BAB72291	all0333
BAB72292	all0334
BAB72293	
BAB72294	alr0336
BAB72295	all0337
BAB72296	asl0338
BAB72297	asl0339
BAB72298	alr0340
BAB72299	all0341
BAB72300	all0342
BAB72301	all0343
BAB72302	alr0344
BAB72303	all0345
BAB72304	alr0346
BAB72305	alr0347
BAB72306	alr0348
BAB72307	all0349
BAB72308	all0350
BAB72309	all0351
BAB72310	all0352
BAB72311	alr0353
BAB72312	alr0354
BAB72313	all0355
BAB72314	alr0356
BAB72315	alr0357
BAB72316	asr0358
BAB72317	alr0359
BAB72318	all0360
BAB72319	all0361
BAB72320	all0362
BAB73558	alr1859
BAB72321	all0363
BAB73557	alr1858
BAB72322	all0364
BAB72323	asr0365
BAB72324	alr0366
BAB72325	alr0367
BAB72326	asr0368
BAB72327	alr0369
BAB72328	alr0370
BAB72329	all0371
BAB72330	all0372
BAB72331	all0373
BAB72332	all0374
BAB72333	all0375
BAB72334	all0376
BAB72335	alr0377
BAB72336	all0378
BAB72337	alr0379
BAB72338	all0380
BAB72339	alr0381
BAB72340	asr0382
BAB72341	alr0383
BAB72342	all0384
BAB72343	all0385
BAB72344	alr0386
BAB72345	all0387
BAB72346	all0388
BAB72347	all0389
BAB72348	all0390
BAB72349	all0391
BAB72350	all0392
BAB72351	all0393
BAB72352	all0394
BAB72353	all0395
BAB72354	all0396
BAB72355	alr0397
BAB72356	all0398
BAB72357	asl0399
BAB72358	all0400
BAB72359	asl0401
BAB72360	alr0402
BAB72361	all0403
BAB72362	all0404
BAB72363	all0405
BAB72364	all0406
BAB72365	all0407
BAB72366	
BAB72367	all0409
BAB72368	all0410
BAB72369	
BAB72370	all0412
BAB72371	
BAB72372	
BAB72373	all0415
BAB72374	all0416
BAB72375	
BAB72376	all0418
BAB72377	all0419
BAB72378	all0420
BAB72379	all0421
BAB72380	all0422
BAB72381	all0423
BAB72382	all0424
BAB72383	all0425
BAB72384	all0426
BAB72385	
BAB72386	alr0428
BAB72387	alr0429
BAB72388	alr0430
BAB72389	asr0431
BAB72390	all0432
BAB72391	alr0433
BAB72392	all0434
BAB72393	all0435
BAB72394	alr0436
BAB72395	all0437
BAB72396	all0438
BAB72397	all0439
BAB72398	alr0440
BAB72399	all0441
BAB72400	
BAB72401	all0443
BAB72402	alr0444
BAB72403	alr0445
BAB72404	alr0446
BAB72405	alr0447
BAB72406	asl0448
BAB72407	asl0449
BAB72408	all0450
BAB72409	alr0451
BAB72410	alr0452
BAB72411	all0453
BAB72412	all0454
BAB72413	all0455
BAB72414	all0456
BAB72415	all0457
BAB72416	all0458
BAB72417	all0459
